iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ORCL","ORACLE CORP","Information Technology","Equity","1,309,262,246.16","0.43","1,309,262,246.16","13,649,523.00","95.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,282,632,038.60","0.42","1,282,632,038.60","33,842,534.00","37.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,277,797,346.28","0.42","1,277,797,346.28","13,010,868.00","98.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,243,977,087.30","0.41","1,243,977,087.30","63,306,722.00","19.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,222,346,141.52","0.40","1,222,346,141.52","6,481,844.00","188.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,218,041,571.00","0.40","1,218,041,571.00","9,902,777.00","123.00","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,205,517,815.90","0.39","1,205,517,815.90","36,742,390.00","32.81","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,201,359,713.88","0.39","1,201,359,713.88","4,742,459.00","253.32","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,154,999,551.86","0.38","1,154,999,551.86","10,869,561.00","106.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,130,196,496.56","0.37","1,130,196,496.56","5,934,036.00","190.46","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,114,669,774.08","0.36","1,114,669,774.08","2,495,008.00","446.76","United States","NASDAQ","USD","1.00","USD","-"
